String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
iM#λ,0,9182181,1,181
d1κO,0,12911609,1,246
uδωd,0,9011748,1,163
sHVF,0,24125551,1,389
Aαt5,0,10421998,1,201
Aoyr,0,3261001,1,68
j7fx,0,10637112,1,284
ωκm9,0,4159068,1,427
Uebj,0,792269,1,96
ΔΘIη,0,2934166,1,304
εOΓJ,0,2570836,1,276
#c1Λ,0,3828185,1,387
ΦXD1,0,4712841,1,427
Ψωηf,0,4545995,1,427
ΛWχt,0,4796738,1,359
tΔΠk,0,2611234,1,163
ΩβyJ,0,7804455,1,427
ΣIkN,0,13250827,1,359
GvΠF,0,2263250,1,163
fξJV,0,4211589,1,304
MΣαR,0,1781642,1,136
hmET,0,4406045,1,304
TΔOM,0,3556198,1,314
νkβp,0,3361433,1,359
XKΘΞ,0,1543732,1,171
6#8E,0,1072512,1,126
M8Cα,0,2577276,1,284
CGYM,0,562795,1,68
bfζv,0,551596,1,68
λtcγ,0,3691869,1,387
LvΣΦ,0,501722,1,58
!XΦι,0,3383774,1,359
SIgΘ,0,1533764,1,171
LβΦi,0,923961,1,98
B%mβ,0,1097050,1,126
F3G8,0,2396276,1,246
oΨP9,0,3172607,1,314
0Θ#8,0,899707,1,98
Πμδθ,0,3977025,1,417
ψ6jc,0,3404019,1,359
κηωI,0,4201782,1,276
ΓFΩv,0,18179090,1,246
BfuK,0,1777656,1,98
ΘlβX,0,32790196,1,389
uYf9,0,21652445,1,389
iBkd,0,14039127,1,246
ζ%An,0,22486235,1,304
xλpX,0,20976656,1,314
YdΣv,0,1224947,1,68
λLΦf,0,14105968,1,246
2nmχ,0,1471667,1,96
8b9Ξ,0,1987799,1,96
5cYm,0,9934712,1,96
A0βΦ,0,14076286,1,171
Em6u,0,11730858,1,209
TmWV,0,9398483,1,136
ωΣh2,0,11347946,1,314
cEDt,0,27621773,1,322
MhVψ,0,8089669,1,96
sw6θ,0,10747228,1,209
φneO,0,22688239,1,427
aAΩη,0,13701427,1,181
NAmτ,0,9833367,1,171
2HDF,0,9090606,1,126
36sZ,0,1142886,1,68
szpb,0,11195613,1,314
O9Td,0,1893319,1,171
yΨM0,0,3061154,1,314
δκ#Θ,0,549941,1,68
νvzS,0,3659382,1,389
hγxo,0,1087474,1,136
$01N,0,3126260,1,349
74oκ,0,1495581,1,171
sq52,0,3939166,1,427
LhSι,0,944078,1,96
IzαΛ,0,498013,1,58
αpt#,0,2938293,1,284
oνiΔ,0,1829464,1,209
τWΘ#,0,1868657,1,171
QκWΘ,0,840296,1,96
Bb#o,0,624418,1,68
kBmP,0,2310413,1,246
BCcν,0,462909,1,58
MbCW,0,2217760,1,239
8@hβ,0,1316125,1,126
Z%θv,0,1584655,1,136
jm$R,0,2972937,1,163
bψ2ι,0,2259000,1,239
as3J,0,3042674,1,304
ΔujΞ,0,2979737,1,322
